No.,会社名,設立年,代表者名,従業員数,住所,会社URL
48,株式会社ゲートオンロジスティクス,2006年,小笠原 伸恭,100-499人,埼玉県戸田市新曽1662,http://www.gate-on.co.jp
49,ディーエムソリューションズ株式会社,2004年,花矢　卓司,500-999人,本社 東京都武蔵野市御殿山1-1-3  クリスタルパークビル2F,http://www.dm-s.co.jp/
50,トーヨーエキスプレス株式会社,1953年,佐藤 雄平,100-499人,東京都大田区矢口3-7-13,http://www.toyo-express.jp/
51,VSM PARTNERS合同会社,2021年, - ,1-4人,神奈川県相模原市緑区上九沢350-8 上九沢ビル3階,https://www.vsmpartners.com/
52,株式会社オーティーエス,1986年, - ,500-999人,東京都江戸川区南葛西5丁目16番1号,http://www.e-ots.jp/
53,国立倉庫株式会社,1969年, - ,30-99人,東京都国立市谷保6丁目22番地の1,http://www.kunilogi.jp/
54,KTコントラクト株式会社,2000年, - ,30-99人,東京都江戸川区臨海町3-6-1,http://www.kt-logi.com/
55,中央株式会社,1948年, - ,100-499人,東京都墨田区東向島4-1-5,https://www.chuoh-logistics.com
56,株式会社バリュー・ロジスティクス,1996年, - ,30-99人,東京都江戸川区篠崎町5-14-23,https://www.value-logistics.jp/
57,株式会社アクセストレードセンター,2010年,古谷　彰則,30-99人,東京都練馬区高野台二丁目16番28号,https://a-tradecenter.co.jp/
58,ジェイカス株式会社,1992年, - ,30-99人,兵庫県西宮市戸田町5-16　西宮ビル5階,http://www.j-cas.co.jp
59,長島梱包株式会社,1926年, - ,100-499人,東京都渋谷区恵比寿1-22-21,http://nagashima.co.jp/
60,株式会社丸祐運送,1982年, - ,100-499人,青森県弘前市高田3-6-11,http://www.maruyu-un.jp
61,株式会社フリーセル,2009年, - ,30-99人,大阪府東大阪市加納5-15-21,http://www.freecell.co.jp/
62,コマースバリュー株式会社,2017年,金田 浩邦,10-29人,埼玉県八潮市大瀬5-6-1,https://www.cvalue.co.jp/
63,株式会社鶴見,1968年, - , - ,大分県別府市鶴見67番地の2,http://tsurumi-logi.com/
64,SBSフレイトサービス株式会社,1944年, - ,100-499人,神奈川県横浜市磯子区杉田5-32-50,https://www.sbs-freight.co.jp
65,有限会社山七商店,1952年, - ,1-4人,新潟県三条市島田３−１−１,http://ds-life.jp/
66,ワヨー株式会社,1982年, - ,100-499人,東京都台東区蔵前１丁目８－２,https://www.wayo.co.jp/
67,株式会社UNITY,2019年, - ,1-4人,大阪府堺市堺区北清水町1丁2番15号2F,http://www.e-ksfactory.jp/
68,SBSホールディングス株式会社,1987年,鎌田　正彦,100-499人,東京都新宿区西新宿8-17-1住友不動産新宿グランドタワー25階,https://www.sbs-group.co.jp/
69,株式会社ディーエムエス,1961年, - ,100-499人,東京都千代田区神田小川町1-11千代田小川町クロスタ10階,http://www.dmsjp.co.jp/
70,ALLX株式会社,2015年, - ,30-99人,兵庫県加西市鶉野町1074-8,http://www.allx.jp
71,株式会社スーパーレックス,1993年, - ,1000人以上,神奈川県相模原市中央区清新8-20-52,https://www.superex.co.jp/
