No.,会社名,設立年,代表者名,従業員数,住所,会社URL
47,株式会社サーバーワークス,2000年, - ,100-499人,東京都新宿区揚場町1番21号 飯田橋升本ビル2階,https://www.serverworks.co.jp/
48,ヤマトシステム開発株式会社,1973年, - ,1000人以上,東京都中央区晴海1-8-11　晴海アイランドトリトンスクエアオフィスタワーY棟,https://www.nekonet.co.jp/
49,ドクターキューブ株式会社,2001年, - ,100-499人,大阪府大阪市北区中之島2-3-18　中之島フェスティバルタワー18F,http://jtc.doctorqube.com/
50,株式会社永和システムマネジメント,1980年, - ,100-499人,福井県福井市問屋町3丁目111番地,https://www.esm.co.jp/
51,株式会社アイディーエス,1996年, - ,100-499人,東京都港区芝2-3-18YM芝公園ビル5階,http://www.ids.co.jp/
52,富士ソフト株式会社,1970年, - ,1000人以上,神奈川県横浜市中区桜木町1-1,https://www.fsi.co.jp/
53,株式会社サービシンク,2010年, - ,30-99人,東京都新宿区新宿1-10-3太田紙興(オオタカミコウ)新宿ビル6F,https://servithink.co.jp/
54,株式会社エスキュービズム,2006年, - ,100-499人,東京都港区芝公園2-4-1 芝パークビルA館4F,http://www.s-cubism.jp/
55,株式会社アルファコード,2015年, - ,100-499人,東京都文京区湯島3-1-3 MS ビル,https://www.alphacode.co.jp/
56,SCSK Minoriソリューションズ株式会社,1980年, - ,1000人以上,東京都新宿区西新宿二丁目4番1号 新宿NSビル17F,http://www.minori-sol.jp/
57,株式会社Sun Asterisk,2013年, - ,1000人以上,東京都千代田区神田紺屋町45-1神田ファースト1F,https://sun-asterisk.com/
58,株式会社ナレッジコミュニケーション,2008年, - ,30-99人,千葉県市川市相之川4-6-5 フォーリーフ南行徳2F,http://www.knowledgecommunication.jp/
59,株式会社フォーミックス,2004年,金子聡志,30-99人,東京都品川区東品川3-32-42 ISビル12F,https://www.fourmix.co.jp/
60,TIS株式会社,2008年,桑野　徹,1000人以上,東京都新宿区西新宿8-17-1 住友不動産新宿グランドタワー,https://www.tis.co.jp/
61,株式会社ロジックアート,1994年, - ,10-29人,東京都新宿区新宿6丁目12-5新宿松喜ビル,http://www.logic-art.co.jp/
62,株式会社日立製作所,1910年, - ,1000人以上,東京都千代田区丸の内一丁目6番6号,http://www.hitachi.co.jp/
63,合同会社mcs,2019年, - , - , - ,https://www.mcs.insidemiku.com/
64,ESRIジャパン株式会社,2002年, - ,100-499人,東京都千代田区平河町2-7-1 塩崎ビル5F,https://www.esrij.com/
65,サイオステクノロジー株式会社,2017年, - , - ,東京都港区南麻布2-12-3　サイオスビル,https://sios.jp/
66,株式会社GIG,2017年,岩上　貴洋,30-99人,東京都中央区日本橋浜町1-11-8 ザ・パークレックス日本橋浜町 4階,https://giginc.co.jp/
67,株式会社Crafdea,2015年,竹内　啓祐,5-9人,埼玉県入間市新久608-9,https://crafdea.co.jp/
68,株式会社koujitsu,2015年,柴田雄平,100-499人,東京都渋谷区千駄ヶ谷5-21-7 第5瑞穂ビル7階,https://koujitsu.co.jp/
69,TC3株式会社,2016年,須藤 義人,10-29人,東京都千代田区大手町１―６―１　大手町ビル４階　ＦｉｎｏＬａｂ内,https://www.tc3.co.jp/
70,株式会社イエス ウィ キャン,1996年, - ,10-29人,東京都港区南青山5-4-35,https://ywc.com/
71,株式会社エヌ・ティ・ティ・データ関西,1990年, - ,1000人以上,大阪府大阪市北区堂島3-1-21　NTTDATA堂島ビル,http://www.nttdata-kansai.co.jp/
72,株式会社ACCESS,1984年, - ,500-999人,東京都千代田区神田練塀町3番地,https://www.access-company.com/
73,株式会社アンクシステムズ,2003年, - , - ,大阪府大阪市中央区南船場4丁目7-15TAG南船場ビル3F,https://www.ankh-systems.co.jp/
74,Ragate株式会社,2017年,益子竜与志,30-99人,東京都中央区日本橋富沢町6-4 WORK EDITION 4B,https://www.ragate.co.jp/
75,アジアクエスト株式会社,2012年, - ,100-499人,東京都千代田区飯田橋3-11-13　飯田橋 i-MARK ANNEX 6F,https://www.asia-quest.jp/
76,株式会社アドテクニカ,1982年, - , - ,静岡県静岡市駿河区中田2丁目4-40,https://www.adtechnica.co.jp/
77,株式会社フレームワークス, - , - , - ,静岡県静岡市駿河区南町14-25　エスパティオ7F,http://www.daiwahousegroup.com/frameworx/
78,株式会社SACCSY,2019年, - ,5-9人,福岡県福岡市中央区白金1-1-3 404,https://saccsy.com/
79,株式会社シーネット,1992年, - ,30-99人,千葉県千葉市美浜区中瀬 1丁目 3 幕張テクノガーデンB棟11 階,http://www.cross-docking.com/
80,伊藤忠テクノソリューションズ株式会社,1979年, - ,1000人以上,東京都港区虎ノ門4-1-1 神谷町トラストタワー,https://www.ctc-g.co.jp/
81,株式会社ジュッポーワークス,1994年, - ,10-29人,大阪府大阪市北区 松ケ枝町1-39　東天満エンビィビル4F,http://www.juppo.co.jp
82,株式会社ジェーエムエーシステムズ,1971年, - ,100-499人,東京都港区海岸1-16-1　ニューピア竹芝サウスタワー18F,https://www.jmas.co.jp/
83,株式会社JSOL,2006年, - ,100-499人,東京都中央区晴海2-5-24 晴海センタービル,https://www.jsol.co.jp/
84,アイガー株式会社,2015年,田中尚樹,10-29人,大阪府大阪市西区新町一丁目8-1行成ビル4階,https://eiger-inc.co.jp/
85,株式会社AMG Solution,2009年, - ,10-29人,東京都中央区東日本橋3-3-3　アネラビル6階,https://amg-solution.jp/
86,株式会社ヘプタゴン,2012年, - ,5-9人,青森県三沢市富崎 2-426,https://heptagon.co.jp/
87,株式会社イーピーエーシステム,1989年, - , - ,東京都渋谷区南平台町1-10　いちご南平台ビル9F,http://www.epa.co.jp/site/
88,株式会社デジタルトラスト,1997年,稲津博義,10-29人,大阪府大阪市中央区瓦町2-4-7新瓦町ビル4F,https://www.dtrust.com/
89,株式会社mofmof,2015年, - ,10-29人,東京都新宿区新小川町5-5 サンケンビル5階,https://www.mof-mof.co.jp/
90,株式会社リコー,1936年, - ,1000人以上,東京都大田区中馬込1-3-6,http://jp.ricoh.com/
91,株式会社ライフグラム,2020年,武藤　真人,5-9人,千葉県千葉市中央区松波3-8-10-201,https://lifegram.ltd/
92,株式会社Sprobe,2022年,平井健一,100-499人,東京都中央区八丁堀４丁目９−１３　 ニチレックビル６Ｆ,https://sprobe.com/
93,エムシバシステム株式会社,2013年, - ,5-9人,東京都文京区本郷1-20-7 安藤ビル302,https://system110.yoyaku-msystem.com/
94,株式会社ファームノート,2013年, - , - ,北海道帯広市公園東町1-3-14,https://farmnote.jp/
95,株式会社リンクレア,1970年, - ,100-499人,東京都港区港南2丁目16番3号 　品川グランドセントラルタワー23階,https://www.lincrea.co.jp/
96,有限会社アールスリーインスティテュート,2000年, - , - ,大阪府大阪市北区大深町3-1 グランフロント大阪 タワーC 16階,https://www.r3it.com/
97,株式会社シーズ,2004年,西垣　孝浩,30-99人,京都府京都市下京区中堂寺粟田町93番地 京都リサーチパーク6号館321,https://www.seeds-std.co.jp/
98,株式会社カオピーズ,2014年,チン　コン　フアン,100-499人,東京都千代田区岩本町2-9-3　第2片山ビル6F,https://kaopiz.com/
99,品川ウェブ制作所合同会社,2023年, - ,1-4人,東京都港区浜松町２丁目２番１５号 浜松町ダイヤビル２Ｆ,https://shinagawa-web.com/
100,株式会社pluszero,2018年, - ,100-499人,東京都世田谷区北沢2-6-10 仙田ビル4F,https://plus-zero.co.jp/
101,株式会社シー・ツー・エム,2002年,伊藤　峰博,30-99人,東京都豊島区駒込1-37-9　エル・エスビル2階,https://c2m.jp/
102,ロータスジャパン株式会社,2020年,グエン・ホアン・ハイ,100-499人,東京都	台東区池之端4丁⽬26-5,https://www.ltsgroup.tech/jp/
103,株式会社一創,2014年,劉 寧,100-499人,東京都中央区晴海1丁目8番12号 晴海アイランド トリトンスクエア オフィスタワーＺ棟5階,https://www.issoh.co.jp/
104,株式会社マイナビ,1973年,中川 信行,1000人以上,東京都千代田区一ツ橋1丁目1番1号パレスサイドビル6F,https://www.mynavi.jp/
105,株式会社エム･システム,2007年, - ,10-29人,東京都葛飾区東新小岩8-5-5　ベルシャトウ新小岩 5F,https://msystm.co.jp/
106,Sera株式会社, - ,瀬名波 栄佑,10-29人,東京都渋谷区神宮前６丁目２３番４号	桑野ビル２階,https://sera-global.jp
107,株式会社COEL,1995年, - ,100-499人,愛知県名古屋市西区牛島町6-1 名古屋ルーセントタワー27階,https://coel-inc.jp/
108,株式会社リヴィティエ,2009年,佐藤 紗耶子,10-29人,東京都文京区湯島3-1-5 アール・デコ御茶ノ水6階,https://revitie.jp/
109,ジウ株式会社,2020年,奥村 貴史,5-9人,東京都品川区東五反田3-20-16　センチュリーメモリアル島津山1101,https://jiu-x.com/
110,株式会社システムエンハンス,2021年,中山 碧,1-4人,大分県中津市是則1333-1サンシャインビル101号,https://enha.co.jp/
111,株式会社アークシステム,1986年, - ,100-499人,東京都中央区日本橋箱崎町24番1号 日本橋箱崎ビル,http://www.arksystems.co.jp/
112,株式会社Automagica,2021年,堀勝通,10-29人,〒153-0064 東京都目黒区下目黒二丁目2番16号 第6千陽ビル 3F,https://corp.automagica.ai/
113,株式会社 八芳園,1952年,長谷晴義,500-999人,東京都港区白金台1-1-1,http://happo-en.com/
114,株式会社 STNet,1984年, - ,500-999人,香川県高松市春日町1735番地3,https://www.stnet.co.jp/
115,株式会社アイアクト,1999年, - , - ,東京都千代田区大手町1-5-1　大手町ファーストスクエア　ウエストタワー2F,https://www.iact.co.jp/
116,株式会社デージーネット,1999年, - , - ,愛知県名古屋市名東区上社四丁目39-1,http://www.designet.co.jp/
117,non-standard world株式会社,2011年, - , - ,東京都杉並区西荻南3-6-2 ことビル3F roomB,https://www.non-standardworld.co.jp/
118,株式会社トゥモロー・ネット,2005年, - ,30-99人,東京都品川区東品川3-28-25プロロジスアーバン東京品川1 3F,http://www.tomorrow-net.co.jp/
119,株式会社ユニリタ,1982年, - ,500-999人,東京都港区港南2-15-1 品川インターシティA棟 29階,https://www.unirita.co.jp/
120,株式会社ミガロ．,1991年, - , - ,大阪府大阪市浪速区湊町2-1-57 難波サンケイビル 13F,http://www.migaro.co.jp/
121,株式会社シーアイエス,1982年, - , - ,愛知県名古屋市栄三丁目11番31号グラスシティ栄9階,http://www.cisjp.com/
122,株式会社アクシオ,1991年, - ,1000人以上,東京都品川区西五反田2-12-19 五反田NNビル5F,https://www.axio.co.jp/
123,株式会社バーテックスシステム,1990年, - ,10-29人,東京都文京区小石川４丁目２０番１号　イトークリエイト小石川ビル５階,http://www.vertexsys.co.jp/
124,株式会社アイロベックス,1990年, - ,10-29人,東京都中央区日本橋堀留町1-10-15 JL日本橋ビル6F,http://www.ilovex.co.jp/
125,株式会社 Pionero,2020年,チン・トゥアン・トゥー,30-99人,東京都千代田区神田多町２－１神田東山ビル７Ｆ・８Ｆ,https://www.pionero.io/
126,株式会社wesionaryTEAM,2020年, - ,30-99人,東京都渋谷区渋谷 2-24-12 渋谷スクランブルスクエア 39F WeWork,https://wesionary.team/
127,ディエスソリューション株式会社,2022年,橋本　武,30-99人,東京都港区虎ノ門4丁目3番1号城山トラストタワー4階 Cozy Works Kamiyacho,https://www.dssolution.jp/ja/
128,株式会社FUNBREW,2023年,金井泰樹,1-4人,神奈川県藤沢市鵠沼石上一丁目7番8,https://funbrew.tech/
129,株式会社コハク堂,2020年,寺田 壮輝,5-9人,滋賀県守山市幸津川町1761番地,https://www.kohakudo-inc.com/
130,株式会社grasys,2014年, - ,30-99人,東京都渋谷区恵比寿4-20-3 恵比寿ガーデンプレイスタワー11階,https://www.grasys.io/
131,株式会社メディアインパクト,2011年, - ,10-29人,京都府京都市上京区油小路中立売下ル甲斐守町97番地　西陣産業創造會舘2階,https://www.mediaimpact.co.jp/
132,セイコーソリューションズ株式会社,2012年,関根　淳,500-999人,千葉県千葉市美浜区中瀬1-8,http://www.seiko-sol.co.jp/
133,株式会社ANGEWORK,2011年, - ,5-9人,東京都千代田区神田練塀町73番地 プロミエ秋葉原703,https://angework.co.jp/
134,Hmcomm株式会社,2012年, - ,30-99人,東京都港区芝大門2-11-1 富士ビル 2階 ／5階,https://hmcom.co.jp/
135,テクバン株式会社,1996年, - ,1000人以上,東京都港区海岸3-20-20　ヨコソーレインボータワー4階,https://www.techvan.co.jp/
136,GMOメイクショップ株式会社※こちら重複登録です,2000年, - , - ,東京都渋谷区桜丘町26番1号 セルリアンタワー 4F,https://www.gmo-systemconsulting.com/
137,テクノシステム株式会社,1984年, - ,100-499人,愛知県豊橋市神野新田町字トノ割28番地,http://www.technosystems.co.jp/
138,株式会社フューチャースピリッツ,2000年, - ,100-499人,京都府京都市下京区中堂寺粟田町91番地 京都リサーチパーク9号館7階,https://www.future-s.com/
139,株式会社サンブリッジ,2012年, - , - ,東京都渋谷区恵比寿南1-5-5 JR恵比寿ビル 11F,https://www.sunbridge.com/
140,株式会社JSE,2007年, - , - ,神奈川県横浜市中区元浜町3-21-2ヘリオス関内ビル4F,http://www.jse-inc.jp/
141,BIPROGY株式会社,1958年, - ,1000人以上,東京都江東区豊洲1-1-1,https://www.biprogy.com/
142,ソフラ株式会社,2021年, - ,10-29人,兵庫県姫路市飾磨区三宅2-11,https://www.sofla.co.jp/
143,株式会社ライトウェル,1973年, - ,100-499人,東京都千代田区神田和泉町１番地９の２　住友不動産神田和泉町ビル４Ｆ,http://www.lightwell.co.jp/index.html
144,株式会社石川コンピュータ・センター,1972年, - ,100-499人,石川県金沢市無量寺町ハ6番地1,http://www.icc.co.jp/
145,株式会社未来ボックス,2011年, - ,100-499人,神奈川県横浜市中区相生町6-113 オーク桜木町ビル 3F,https://miraibox.jp/
146,taneCREATIVE株式会社,2012年,榎　崇斗,30-99人,新潟県佐渡市中興乙1427,https://tane-creative.co.jp/
147,TLZS株式会社,2016年, - ,30-99人,〒101-0025 東京都千代田区神田佐久間町一丁目９番地 第７東ビル5階,https://www.tlzs.co.jp/
148,ウェブクリエイティブ株式会社,2001年, - ,10-29人,岡山県岡山市北区野田屋町2-11-19　柳川Rビル,http://www.web3.co.jp/
149,株式会社クロスパワー,2006年, - ,100-499人,東京都千代田区外神田1丁目16-8　GEEKS AKIHABARA 3階,http://x-power.co.jp/
150,株式会社ハイペリオン,2006年,瀬川　英則,100-499人,東京都豊島区池袋2-40-12　西池袋第一生命ビル6F,https://www.hyperion.co.jp/
151,ザンシン株式会社,2015年, - ,10-29人,東京都千代田区神田多町2-9-6 田中ビル本館,https://zanthing.com/
152,有限会社アップルップル,2004年,山本 一道,10-29人,愛知県名古屋市名駅3-18-5 モンマートビル5F,https://www.appleple.com/
153,株式会社AlphaBlink,2023年,上垣内 宏樹,10-29人,愛知県名古屋市中川区尾頭橋4丁目13番7号　名古屋ビジネスインキュベータ（nabi金山）2Ｆ,https://alphablink.jp/
154,株式会社オンラインコンサルタント,2006年, - ,10-29人,神奈川県横浜市西区北幸２丁目10−39 日総第5ビル 9F,http://www.onlineconsultant.jp/
155,株式会社プラネット,1905年, - ,100-499人,東京都渋谷区千駄ヶ谷 4-23-1 松栄ビル,https://www.pnet.co.jp/
