No.,会社名,設立年,代表者名,従業員数,住所,会社URL
46,株式会社ドム,1999年,菊地永一郎,30-99人,東京都新宿区西新宿8-14-24 西新宿KFビル4階,http://www.dom-net.co.jp/
47,株式会社IKY,2016年,川西　恭平,10-29人,東京都豊島区南池袋3-13-14 TAKIビル 5-6F,http://i-k-y.co.jp/
48,株式会社かんでんCSフォーラム,2003年,森本 章文,1000人以上,大阪府大阪市都島区東野田町1-5-14  京橋フロントビル,http://www.kcsf.co.jp/
49,株式会社サピエント,2012年,湯川 智子, - ,東京都港区台場2丁目3-1 トレードピアお台場14階,https://www.sapient-inc.co.jp/
50,株式会社ヒューマン・ライジン,2008年, - ,100-499人,東京都豊島区西池袋1-5-3 エルグビル8階,https://h-raizin.co.jp
51,株式会社ヒューマリッジ,2015年, - ,10-29人,東京都千代田区神田神保町1-64　神保町協和ビル5Ｆ,http://www.huemaridge.co.jp/
52,株式会社TJG,2018年, - ,30-99人,兵庫県神戸市兵庫区湊町1丁目5-3 三和ビル6F 7F,http://info.tjg.co.jp/
53,株式会社チャージ,1995年, - ,30-99人,大阪府大阪市北区芝田1-4-14 芝田町ビル4F,https://charge-staff.co.jp
54,株式会社デジタルスケープ,1995年,篠原淳,100-499人,東京都渋谷区道玄坂1-10-8 渋谷道玄坂東急ビル8階,http://corp.dsp.co.jp/
55,株式会社ウィルオブ・ワーク,1997年,村上 秀夫,1000人以上,東京都新宿区新宿三丁目1番24号  京王新宿三丁目ビル3F,https://willof-work.co.jp/
56,リス株式会社,1980年,木村　亮郎,30-99人,東京都新宿区西新宿２丁目４番１号　新宿ＮＳビル２５階,http://www.lis21.co.jp/
57,株式会社クラスター, - , - ,10-29人,大阪府大阪市北区芝田1丁目10-10,http://www.cliester.net/
58,エールスペック株式会社,2017年,阪本 美貴子,100-499人,東京都千代田区丸の内2-6-1 丸の内パークビルディング8階,https://www.yellspec.co.jp/
59,KSキャリア株式会社,2020年, - ,10-29人,東京都千代田区丸の内1-8-1丸の内トラストタワーN館17階,https://ks-career.co.jp/
60,株式会社廣済堂ビジネスサポート,2011年, - ,30-99人,宮城県仙台市若林区舟丁18-2　廣済堂仙台ビル,https://www.kosaido-biz.co.jp/
61,株式会社MPS,1991年,石井 智幸,30-99人,千葉県千葉市美浜区浜田2-19,https://www.mpsco.jp/
62,株式会社HIGH FIELD,2014年, - , - ,大阪府吹田市千里山東1-7-33 ランジス関大前4F,http://high-field.info/
63,株式会社ヴィゴール,1992年,大谷 亘,30-99人,東京都品川区南大井6-26-3 大森ベルポートD館9F,http://www.vigor-g.jp/
64,株式会社ＶＡＣＳＳ,2009年,嵐山　裕二,5-9人,愛知県名古屋市中村区岩塚本通一丁目５１番地ムラテビル４Ｂ,http://vacss.com/
65,株式会社ベルシステム24,1982年,梶原　浩,1000人以上,東京都港区虎ノ門4丁目1番1号 神谷町トラストタワー6階,https://www.bell24.co.jp/ja/
66,株式会社ブレーンネット,1998年,今井 智康,30-99人,東京都千代田区神田神保町三丁目10番地,http://www.brainnet.co.jp/
67,株式会社ディースパーク,2003年, - , - ,大阪府大阪市中央区南船場4-11-28 JPR心斎橋ウエスト3F,http://www.d-spark.com/
68,株式会社シー・エイチ・エス,2006年,冨澤　正,5-9人,埼玉県新座市東北 2-31-6 第1福島ビル4B,http://www.chs-corp.co.jp/
69,ヒューマンアシスト株式会社,1998年, - , - ,神奈川県川崎市川崎区砂子2-10-7 ルリエ川崎駅前ビル4Ｆ,https://h-a.co.jp/
70,日研トータルソーシング株式会社,1981年, - ,1000人以上,東京都大田区西蒲田7-23-3　日研第一ビル,http://www.nikken-totalsourcing.jp/
71,株式会社addrandom,2020年,板橋　力也,10-29人,東京都新宿区西新宿6-12-7 ストーク新宿,https://www.add-random.com/
72,アデコ株式会社,1985年,川崎　健一郎,1000人以上,東京都千代田区霞が関3-7-1　霞が関東急ビル,https://www.adeccogroup.jp
73,株式会社アピス, - , - , - ,大阪府堺市堺区北三国ヶ丘町8-4-3,http://www.apis87.com/
74,株式会社TORIST関東支社,2015年, - ,10-29人,東京都中央区日本橋2-16-3 18山京ビル6Ｆ,http://torist.co.jp/index.html
75,フルスタック株式会社,2022年,中満悠人,100-499人,東京都中央区八丁堀3-6-6 アド京橋ビル2F,https://www.full-stack.co.jp/
76,東京建物スタッフィング株式会社,2008年, - , - ,東京都中央区八重洲1-9-9東京建物本社ビル6階,https://www.tt-staffing.co.jp/
77,株式会社極東ブレイン,1982年, - , - ,兵庫県芦屋市茶屋之町2番21メイピース芦屋303号,http://fe-brain.com/
78,株式会社エイチエージャパン,2013年,小林　親悟,30-99人,東京都新宿区西新宿1-18-6 山兼新宿ビル6階,http://hajapan.work
79,TLZS株式会社,2016年, - ,30-99人,〒101-0025 東京都千代田区神田佐久間町一丁目９番地 第７東ビル5階,https://www.tlzs.co.jp/
