No.,会社名,設立年,代表者名,従業員数,住所,会社URL
47,株式会社きゃりなっぷ,2014年, - ,1-4人,東京都新宿区西新宿7丁目7番26　ワコーレ新宿第一ビル407,http://carynap.co.jp/
48,株式会社プロフェッショナルバンク,2004年,兒玉　彰,100-499人,東京都千代田区内幸町2-2-2　富国生命ビル10階,http://www.pro-bank.co.jp/
49,日総ブレイン株式会社,1986年, - , - ,神奈川県横浜市鶴見区豊岡町28-26　日総第一ビル神奈川県横浜市神奈川区鶴屋町2-23-2　TSプラザビル16F,http://www.nsbrain.jp/
50,株式会社廣済堂,1954年,根岸 千尋,1000人以上,東京都港区芝浦1-2-3　シーバンスS館13F,https://www.kosaido.co.jp/
51,アドバンテック株式会社,1998年, - , - ,大阪府大阪市淀川区宮原3-5-36 新大阪トラストタワー19F,http://www.advan-t.com/
52,株式会社ジョブメイト,1985年, - , - ,青森県青森市浪打1-14-3　JMGビル,http://www.jobmate.co.jp/
53,株式会社 クイック,1980年, - ,1000人以上,大阪府大阪市北区小松原町2-4　大阪富国生命ビル東京都港区赤坂2-11-7　ATT新館,http://919.jp/
54,株式会社ジェイック,1991年, - ,100-499人,東京都千代田区神田神保町1-101　神保町101ビル6F,http://www.jaic-g.com/
55,株式会社インフィニティー,2001年, - , - ,愛知県名古屋市中区錦1-17-13　名興ビル5F,http://www.in-fy.com/
56,株式会社エヌエムピースペシャリスト,1979年, - ,100-499人,東京都新宿区新宿2-3-11　VORT新宿御苑5階,https://nmp-specialist.com/
57,株式会社ヴォーチェ,2009年,毛受 史江,5-9人,愛知県名古屋市葵１丁目１４−１３アーク新栄ビルディング6F,https://agross.jp/
58,株式会社そると,2015年, - ,10-29人,東京都品川区上大崎2-15-19 MG目黒駅前2階,http://www.saltinc.co.jp
59,株式会社エスプールヒューマンソリューションズ,2009年, - ,100-499人,東京都新宿区西新宿1-25-1 新宿センタービル36階,https://www.spool.co.jp/service/shs/
60,株式会社CROSLAN,2017年,川村敦,5-9人,平野町３丁目３−７ ニューライフ平野町908号室,https://croslan.co.jp/
61,キャリアバンク株式会社,1987年,佐藤　良雄,100-499人,北海道札幌市中央区北五条西五丁目7番地,https://www.career-bank.co.jp/
62,みらい人材サポート株式会社,2015年, - ,5-9人,愛知県名古屋市中区丸の内3-14-32　丸の内三丁目ビル 9F,http://www.career-on.jp/
63,株式会社極東ブレイン,1982年, - , - ,兵庫県芦屋市茶屋之町2番21メイピース芦屋303号,http://fe-brain.com/
64,V-Job株式会社,2017年, - ,1-4人,〒222-0033 神奈川県横浜市港北区新横浜３丁目17番12号ビステーション新横浜,https://v-job.co.jp/home/info
65,株式会社エヌティ,2011年, - ,10-29人,埼玉県鴻巣市松原1-3-18,https://www.k-nt.co.jp/
66,アデコ株式会社,1985年,川崎　健一郎,1000人以上,東京都千代田区霞が関3-7-1　霞が関東急ビル,https://www.adeccogroup.jp
67,キャリア・パートナーズ株式会社, - , - , - ,東京都杉並区堀ノ内1-17-36,http://www.career-partners.biz/
68,株式会社ネオキャリア,2000年,西澤　亮一,1000人以上,東京都新宿区西新宿1-22-2 新宿サンエービル2階,https://www.neo-career.co.jp/
69,株式会社ジャパンクリエイトグループ,2011年, - ,30-99人,大阪府大阪市淀川区東三国4-3-1 グロリア240 3F,http://www.jc-grp.com/
70,株式会社マイベース,2014年, - ,10-29人,東京都新宿区高田馬場3-12-2　高田馬場OCビル4階,http://mybase.co.jp/
71,株式会社リンクスタッフ,1992年, - ,100-499人,東京都港区赤坂4-9-17 赤坂第一ビル5・6F,http://it-link.net/lp
72,株式会社エルティービー,2013年,鈴木 晴美, - ,東京都新宿区西新宿6-12-16,https://livetobusiness.co.jp/
73,株式会社Bridge,2020年, - ,10-29人,大阪府大阪市南船場 2-11-20 GATO三休橋ビル1F 東B,https://tk-bridge.com/
74,株式会社ナイチンゲール,2000年,関根　冨士子,30-99人,東京都渋谷区道玄坂2-8-7 渋谷道玄坂ビル3・4F,http://www.nightingale-web.com/
75,インデュースキャリアプロモーション株式会社,2003年,山口　博史,5-9人,東京都渋谷区渋谷3-7-2 第3矢木ビル5F,http://www.induce.co.jp/
76,株式会社グランシーズ,2005年,代表取締役　小林　久美子,5-9人,東京都新宿区西新宿7-10-6西新宿小林ビル4F,http://granseeds.co.jp/
77,とうざい株式会社,2007年,田中　圭,30-99人,青森県八戸市城下4ー9ー5,https://www.e1031.jp/
78,株式会社ソーシャライズ,2014年, - , - ,東京都渋谷区宇田川町2-1渋谷ホームズ1015,http://sociarise.co.jp/
79,エン・ジャパン,2000年,鈴木　孝二,1000人以上,東京都新宿区西新宿6-5-1 新宿アイランドタワー,https://corp.en-japan.com/
80,株式会社ＨＲビジョン,2000年, - ,30-99人,東京都港区北青山2-7-9 日昭ビル 7階,https://hrvision.co.jp/
81,株式会社アソウ・ヒューマニーセンター,1984年, - , - ,福岡県福岡市中央区天神2-8-41 福岡朝日会館 14階,https://www.ahc-net.co.jp/
82,株式会社ロバート・ハーフ・ジャパン, - , - , - ,東京都千代田区大手町 1-1-3大手センタービル 22 F,https://www.roberthalf.jp/ja
83,株式会社インターワークス,1991年, - ,100-499人,東京都港区西新橋1-6-21　NBF虎ノ門ビル8階,https://interworks.jp/
84,株式会社 アイ・エヌ・ジー・エンタープライズ,1997年, - , - ,東京都新宿区早稲田町12-5 ニュー早稲田ビル6F,http://www.ing-ent.co.jp/
85,株式会社iDA,1999年, - ,1000人以上,東京都渋谷区代々木2-2-1 小田急サザンタワー 7F大阪府大阪市中央区本町3-3-8 山口興産ビル 5F,http://www.ida-mode.com/
86,株式会社ディスコ,1973年, - ,100-499人,東京都文京区後楽2-5-1 飯田橋ファーストビル 9階,http://www.disc.co.jp/corporate/
87,株式会社A・ヒューマン,2000年, - , - ,東京都港区南青山1-3-3 青山一丁目タワー4階,http://www.a-human.net/
